id_by_user,name,type,size_x,size_y,size_z,remarks,first_upload_date,update_date,reference,rate,status
1,ItemA,Type1,10.5,1,2,aああ,2024-06-13T09:22:08.799,2024-06-14T19:49:12.272,,0.431366466950087,under_review
2,ItemB,Type2,20,2,3,a,2024-06-13T09:22:08.801,2024-06-14T19:49:12.272,,0.597553327581441,under_review
3,ItemC,Type1,15.3,3,4,a,2024-06-13T09:22:08.801,2024-06-14T19:49:12.272,,0.965345396096767,under_review
1,ItemA,Type1,10.5,1,2,a,2024-06-13T09:24:43.179,2024-06-14T19:49:12.272,,0.581542815457074,under_review
2,ItemB,Type2,20,2,3,a,2024-06-13T09:24:43.182,2024-06-14T19:49:12.272,,0.103417985974335,under_review
3,ItemC,Type1,15.3,3,4,third,2024-06-13T09:24:43.182,2024-06-13T21:41:10.646,,0.298435218645893,under_review
1,ItemA,Type1,10.5,1,2,first record,2024-06-13T09:53:39.445,2024-06-13T21:41:10.646,,0.821553137803724,under_review
2,ItemB,Type2,20,2,3,2nd,2024-06-13T09:53:39.445,2024-06-13T21:41:10.646,,0.558559253268879,under_review
3,ItemC,Type1,15.3,3,4,third,2024-06-13T09:53:39.445,2024-06-13T21:41:10.646,,0.535486544935584,under_review
1,ItemA,Type1,10.5,1,2,first record,2024-06-13T14:59:44.252,2024-06-13T21:41:10.646,,0.196937368743956,under_review
2,ItemB,Type2,20,2,3,2nd,2024-06-13T14:59:44.252,2024-06-13T21:41:10.646,,0.261398817075252,under_review
3,ItemC,Type1,15.3,3,4,third,2024-06-13T14:59:44.252,2024-06-13T21:41:10.646,,0.503540081607757,under_review
1,1,1,1,1,1,1,2024-06-13T15:29:35.486,2024-06-13T21:41:10.646,,0.97652905481869,under_review
1,ItemA,Type1,10.5,1,2,first record,2024-06-13T15:36:52.755,2024-06-13T21:41:10.646,,0.832137479144256,under_review
2,ItemB,Type2,20,2,3,2nd,2024-06-13T15:36:52.755,2024-06-13T21:41:10.646,,0.714286231164564,under_review
3,ItemC,Type1,15.3,3,4,third,2024-06-13T15:36:52.755,2024-06-13T21:41:10.646,,0.388955285519163,under_review
2,2,2,2,2,2,2,2024-06-13T15:38:22.965,2024-06-13T21:41:10.646,,0.762066775336395,under_review
4,ItemA,Type1,10.5,1,2,444,2024-06-13T17:21:38.635,2024-06-13T21:41:10.646,,0.543104335633364,under_review
5,ItemB,Type2,20,2,3,55,2024-06-13T17:21:38.635,2024-06-13T21:41:10.646,,0.386498202644401,under_review
6,ItemC,Type1,15.3,3,4,6,2024-06-13T17:21:38.635,2024-06-13T21:41:10.646,,0.21865387283732,under_review
4,ItemA,Type1,10.5,1,2,444,2024-06-13T20:31:19.225,2024-06-13T21:41:10.646,,0.532712407095165,under_review
5,ItemB,Type2,20,2,3,55,2024-06-13T20:31:19.225,2024-06-13T21:41:10.646,,0.585678772150801,under_review
6,ItemC,Type1,15.3,3,4,6,2024-06-13T20:31:19.225,2024-06-13T21:41:10.646,,0.890927703739722,under_review
